Size of array |  Time of one thread sort, ms | Time of parallel sort, ms
86300 | 41132 | 15096
86400 | 45545 | 13250
86500 | 39756 | 10286
86600 | 40904 | 9822
86700 | 42530 | 10055
86800 | 40527 | 9559
86900 | 41492 | 9626
87000 | 41616 | 9388
87100 | 42461 | 13843
87200 | 42391 | 13695
87300 | 43539 | 12833
87400 | 41169 | 10563
87500 | 40363 | 9191
87600 | 42751 | 9500
87700 | 42260 | 10392
87800 | 40759 | 9610
87900 | 40862 | 16957
88000 | 47557 | 13047
88100 | 41811 | 10542
88200 | 40929 | 10021
88300 | 43137 | 10019
88400 | 40926 | 9580
88500 | 41099 | 9777
88600 | 43761 | 9376
88700 | 42116 | 15910
88800 | 42137 | 14814
88900 | 43567 | 9736
89000 | 42513 | 10188
89100 | 46023 | 9644
89200 | 43080 | 11399
89300 | 42219 | 9707
89400 | 43795 | 9316
89500 | 42729 | 9161
89600 | 41872 | 9737
89700 | 40656 | 8464
89800 | 42178 | 13959
89900 | 45613 | 14059
90000 | 41558 | 9717
90100 | 41787 | 9670
90200 | 43648 | 9679
90300 | 44156 | 9614
90400 | 43875 | 9459
90500 | 45700 | 10122
90600 | 43941 | 13909
90700 | 41590 | 14222
90800 | 44740 | 11077
90900 | 43981 | 10563
91000 | 43881 | 9843
91100 | 44113 | 10315
91200 | 44903 | 11130
91300 | 42767 | 10107
91400 | 46679 | 17783
91500 | 43951 | 14387
91600 | 43532 | 9953
91700 | 46929 | 11515
91800 | 42966 | 11028
91900 | 43771 | 10195
92000 | 46069 | 10662
92100 | 44369 | 9839
92200 | 43658 | 10241
92300 | 44239 | 14406
92400 | 43383 | 13130
92500 | 44847 | 9835
92600 | 49889 | 12127
92700 | 44203 | 9404
92800 | 44293 | 9602
92900 | 44308 | 9924
93000 | 44205 | 9074
93100 | 45266 | 14425
93200 | 47777 | 12777
93300 | 44248 | 10675
93400 | 43710 | 10592
93500 | 52953 | 10424
93600 | 43339 | 9201
93700 | 44106 | 10868
93800 | 43450 | 9549
93900 | 45034 | 9195
94000 | 45235 | 9215
94100 | 53006 | 31897
94200 | 50621 | 15457
94300 | 45406 | 14426
94400 | 47498 | 10502
94500 | 44171 | 10722
